Product Name,Price,Review Count,Image URL
"14 Smartphone with 6.7in HD Large Screen, 4G Unlocked Cell Phone for Android 12, 8GB 256GB, Face Recognition, 128G Expansion, with Front 16MP Camera Rear 32MP Camera(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61w1X5vQ8ML._AC_UY218_.jpg
"15 Smartphone with 6.7in HD Large Screen, 5G Unlocked Cell Phone for Android 13, 6GB 128GB, Face Recognition, 128G Expansion, with Front 16MP Camera Rear 32MP Camera(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61kFJ8-E+PL._AC_UY218_.jpg
"15 Smartphone with 6.7in HD Large Screen, 5G Unlocked Cell Phone for Android 13, 6GB 128GB, Face Recognition, 128G Expansion, with Front 16MP Camera Rear 32MP Camera(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61irLLobhBL._AC_UY218_.jpg
"14 Smartphone, Full Touch Screen Cellphone with 6.7in HD Large Screen, for Android 13, 6GB RAM, 256GB ROM, 6800mAh Battery, 16MP 32MP Camera, for Daily(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61AH+zpO0rL._AC_UY218_.jpg
"15 Smartphone, Full Touch Screen Cellphone with 6.7in HD Large Screen, for Android 13, 6GB RAM, 256GB ROM, 6800mAh Battery, 16MP 32MP Camera, for Daily(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61BvdVgHsEL._AC_UY218_.jpg
Narikiri Babitapi-chan Smartphone Shoulder Cord,28.61,N/A,https://m.media-amazon.com/images/I/71W40N2xKPL._AC_UY218_.jpg
Nakajima Corporation 179890-22 Peko-chan Smartphone Shoulder,64.90,N/A,https://m.media-amazon.com/images/I/616mT5RIs+L._AC_UY218_.jpg
"Unlocked Cell Phones Canada, Ulefone Note 16 Pro(12+128GB) Unlocked Smartphone, Android 13, 50MP Dual Cameras, 4400mAh, 6.52-inch Screen, Ultra Thin & Light, OTG/Reverse Charge, 4G LTE Phones (Purple)",159.99,"1,823",https://m.media-amazon.com/images/I/71DO-PXEtqL._AC_UY218_.jpg
"Rugged Phone Canada, Ulefone Armor X12 Rugged Smartphone, Android 13 Go, 6GB+32GB up to 256GB Extension, 5.45 inch HD+ Screen, 13MP Rear Camera, 4860mAh, 3-Card Slot, NFC, OTG, Black",169.99,35,https://m.media-amazon.com/images/I/7150Tv0I3JL._AC_UY218_.jpg
OnePlus Nord 2T 5G Dual-Sim 256GB ROM + 12GB RAM (GSM only | no CDMA) Factory Unlocked 5G Smartphone (Gray Shadow) - International Version,N/A,410,https://m.media-amazon.com/images/I/51HztTyxNdL._AC_UY218_.jpg
